track_id,track_start_datetime,track_end_datetime,track_length_images,n_detection_rows,representative_image_path,representative_crop_status,binary_class,order_name,regional_species_rank_1_name,global_family_rank_1_name,global_genus_rank_1_name,global_species_rank_1_name,mean_total_cost,track_duration_minutes,is_single_image_track
Track_002374,01/09/2025 20:20,01/09/2025 20:20,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T132002.jpg,crop_1,nonmoth,Araneae,,,,,,0,TRUE
Track_002375,01/09/2025 20:22,01/09/2025 20:22,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T132203.jpg,crop_1,nonmoth,Araneae,,,,,,0,TRUE
Track_002376,01/09/2025 20:24,01/09/2025 20:24,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T132404.jpg,crop_1,nonmoth,Araneae,,,,,,0,TRUE
Track_002377,01/09/2025 20:26,01/09/2025 20:26,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T132605.jpg,crop_1,nonmoth,Araneae,,,,,,0,TRUE
Track_002378,01/09/2025 20:28,01/09/2025 20:46,10,10,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T132806.jpg,crop_1,nonmoth,Lepidoptera Macros,Sphenarches anisodactylus,Geometridae,Idaea,Idaea rusticata,0.205485879,18.15,FALSE
Track_002379,01/09/2025 20:46,01/09/2025 20:46,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T134615.jpg,crop_3,moth,Lepidoptera Macros,Trilocha varians,Noctuidae,Euthrix,Euthrix potatoria,2.318850539195781,0,TRUE
Track_002380,01/09/2025 20:48,01/09/2025 20:48,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T134816.jpg,crop_1,nonmoth,Araneae,,,,,,0,TRUE
Track_002381,01/09/2025 20:50,01/09/2025 20:50,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T135017.jpg,crop_1,nonmoth,Lepidoptera Macros,Sphenarches anisodactylus,Geometridae,Idaea,Noctua janthe,,0,TRUE
Track_002382,01/09/2025 20:52,01/09/2025 20:54,2,2,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T135218.jpg,crop_1,nonmoth,Lepidoptera Macros,Stenoptilodes taprobanes,Noctuidae,Harpyia,Harpyia milhauseri,0.5932006865975571,2.0166666666666666,FALSE
Track_002383,01/09/2025 20:56,01/09/2025 21:00,3,3,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T135620.jpg,crop_1,nonmoth,Lepidoptera Macros,Trilocha varians,Pieridae,Anthocharis,Anthocharis cardamines,0.5561457251738345,4.033333333333333,FALSE
Track_002384,01/09/2025 21:02,01/09/2025 21:02,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T140223.jpg,crop_1,nonmoth,Araneae,,,,,,0,TRUE
Track_002385,01/09/2025 21:04,01/09/2025 21:14,6,6,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T140424.jpg,crop_1,nonmoth,Lepidoptera Macros,Hyposidra talaca,Noctuidae,Argyresthia,Galleria mellonella,0.1338030387117629,10.083333333333334,FALSE
Track_002386,01/09/2025 21:14,01/09/2025 21:14,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T141429.jpg,crop_3,moth,Lepidoptera Macros,Trilocha varians,Sphingidae,Hyles,Hyles euphorbiae,2.1890404164445973,0,TRUE
